Key,          Name
bayern,       Bayern München
dortmund,     Borussia Dortmund
dortmundii,   Borussia Dortmund II
leverkusen,   Bayer Leverkusen
schalke,      Schalke 04
frankfurt,    Eintracht Frankfurt
hsv,          Hamburger SV       ## change key to hamburg ?? -- avoid three letter acronyms - why? why not?
mgladbach,    Borussia M'gladbach
hannover,     Hannover 96
wolfsburg,    VfL Wolfsburg
mainz,        1. FSV Mainz 05
mainzii,      1. FSV Mainz 05 II
bremen,       Werder Bremen
bremenii,     Werder Bremen II
hoffenheim,   1899 Hoffenheim
stuttgart,    VfB Stuttgart
stuttgartii,  VfB Stuttgart II
augsburg,     FC Augsburg
herthabsc,    Hertha BSC      ### check: use only hertha as key or bsc - why? why not?
koeln,        1. FC Köln
ingolstadt,   FC Ingolstadt 04
darmstadt,    SV Darmstadt 98

paderborn,    SC Paderborn 07
freiburg,     SC Freiburg
braunschweig, Eintracht Braunschweig
nuernberg,    1. FC Nürnberg
duesseldorf,  Fortuna Düsseldorf
fuerth,       SpVgg Greuther Fürth
klautern,     1. FC Kaiserslautern
fsvfrankfurt, FSV Frankfurt
tsvmuenchen,  TSV München 1860       ### check: allow use of number in key eg muenchen1860?
unionberlin,  Union Berlin
bochum,       VfL Bochum
stpauli,      FC St. Pauli
sandhausen,   SV Sandhausen
karlsruhe,    Karlsruher SC
heidenheim,   1. FC Heidenheim
leipzig,      RB Leipzig
duisburg,     MSV Duisburg
bielefeld,    Arminia Bielefeld
